method,agieval_lsat_ar,arc_challenge,arc_easy,coqa,gsm8k,hellaswag,jeopardy,lambada_openai,mbpp,mmlu,piqa,social_iqa,squadv2,winogrande,average
olmo_hybrid_7b_ingredient1@step1434078,0.23478260869565218,0.6356655290102389,0.8678451178451179,0.7989945502410506,0.7695223654283548,0.750547699661422,0.5179,0.5990685037842034,0.46220000000000006,0.7042038186736724,0.8122959738846572,0.5087001023541453,0.8986064798317701,0.749802683504341,0.6650096737796163
olmo_3_1125_32b@step500000,0.1956521739130435,0.6501706484641638,0.8876262626262627,0.8327312063673182,0.6307808946171342,0.8207528380800637,0.6626,0.4826314768096255,0.454375,0.6930214917041564,0.8166485310119695,0.4872057318321392,0.8957160268551941,0.7963693764798737,0.6647344041972103
alia_40b,0.1826086956521739,0.6279863481228669,0.8796296296296297,0.8228836047028499,0.6542835481425322,0.8331009759012149,0.6706,0.618474674946633,0.3552,0.6711982559754767,0.8367791077257889,0.5,0.8725693477709615,0.77663772691397,0.6644251368202927
olmo_hybrid_7b_ingredient1@step1437920,0.20434782608695654,0.6313993174061433,0.8724747474747475,0.826051450850588,0.77710386656558,0.7561242780322645,0.4941,0.6021734911701921,0.439,0.7083217197839018,0.8177366702937976,0.5087001023541453,0.9027549826408893,0.760852407261247,0.6643672042800324
qwen35_9b,0.22608695652173913,0.6638225255972696,0.8922558922558923,0.3094768762786589,0.8369977255496588,0.8186616211909978,0.5846,0.5986803803609548,0.6088125,0.8202857482068636,0.8155603917301415,0.46519959058341864,0.910863015296476,0.744277821625888,0.663970074656997
olmo_3_1025_7b@step1461498,0.2217391304347826,0.6075085324232082,0.8699494949494949,0.8629003862403003,0.8066717210007581,0.7727544313881697,0.5335,0.4674946633029303,0.5074000000000001,0.6822267136903315,0.8063112078346029,0.5097236438075742,0.920891996151245,0.7253354380426204,0.6638862399475727
gemma3_12b,0.22608695652173913,0.6706484641638225,0.8935185185185185,0.18912056450270578,0.7475360121304018,0.8337980481975702,0.6962,0.6192509217931302,0.5971875,0.7640586761152615,0.8362350380848749,0.5071647901740021,0.9100527804940962,0.7932123125493291,0.6631478988032465
olmo_hybrid_7b_ingredient1@step1437078,0.21304347826086956,0.6322525597269625,0.8707912457912458,0.8151746702801761,0.7733131159969674,0.7555267874925313,0.4906,0.6015913060353192,0.4442,0.7061266565549772,0.8155603917301415,0.5015353121801432,0.9004317373689729,0.7576953433307024,0.6627030431963579
olmo_3_1025_7b@step1458814,0.21304347826086956,0.6032423208191127,0.867003367003367,0.8613901799108078,0.799090219863533,0.7692690699063931,0.5401,0.47215214438191344,0.5052,0.677683715132714,0.8008705114254625,0.5148413510747185,0.9209810485210636,0.7253354380426204,0.6621573460244697
qwen3_4b,0.1826086956521739,0.6322525597269625,0.8644781144781145,0.743302746418797,0.8127369219105383,0.7573192591117307,0.4977,0.45526877547059963,0.638,0.7594635694489893,0.794341675734494,0.5061412487205732,0.8979679999363498,0.7087608524072613,0.6607387442154703
